Q5/Q4,State,Abbreviation
594,Florida,FL
349,Texas,TX
335,NewYork,NY
321,Ohio,OH
279,Michigan,MI
278,Pennsylvania,PA
216,NewJersey,NJ
196,Illinois,IL
185,California,CA
177,Arizona,AZ
147,Georgia,GA
138,Indiana,IN
123,Tennessee,TN
112,Maryland,MD
112,NorthCarolina,NC
112,Virginia,VA
91,SouthCarolina,SC
91,Washington,WA
86,Massachusetts,MA
74,Kentucky,KY
74,Missouri,MO
73,Louisiana,LA
65,Wisconsin,WI
62,Minnesota,MN
56,Connecticut,CT
54,Oklahoma,OK
49,Oregon,OR
49,WestVirginia,WV
46,Colorado,CO
40,Iowa,IA
34,Alabama,AL
33,Kansas,KS
33,Mississippi,MS
29,Maine,ME
24,Delaware,DE
20,Nevada,NV
19,NewMexico,NM
19,Utah,UT
16,Arkansas,AR
15,Nebraska,NE
14,DistrictofColumbia,DC
12,RhodeIsland,RI
11,Idaho,ID
9,Alaska,AK
9,NewHampshire,NH
8,NorthDakota,ND
7,SouthDakota,SD
6,Montana,MT
4,Hawaii,HI
2,Wyoming,WY
1,Vermont,VT
